"Large object passed by value","An object larger than 64 bytes is passed by value to a function. Passing large objects by value unnecessarily use up scarce stack space, increase the cost of calling a function and can be a security risk. Use a const pointer to the object instead.","recommendation","This parameter of type [[""PerformanceMeasureOptions""|""relative:///Userland/Libraries/LibWeb/UserTiming/PerformanceMeasure.h:14:8:14:32""]] is 72 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""ReferenceAndValue""|""relative:///Userland/Libraries/LibJS/AST.h:1938:12:1938:28""]] is 96 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""Optional<LocaleID>""|""relative:///AK/Optional.h:52:53:52:63""]] is 136 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""LocaleResult""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/AbstractOperations.h:34:8:34:19""]] is 112 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""LocaleAndKeys""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/LocaleConstructor.cpp:19:8:19:20""]] is 104 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""FormatResult""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/NumberFormat.h:263:8:263:19""]] is 200 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""RawPrecisionResult""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/NumberFormat.cpp:993:8:993:25""]] is 392 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""RawFixedResult""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/NumberFormat.cpp:1147:8:1147:21""]] is 384 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""RawFormatResult""|""relative:///Userland/Libraries/LibJS/Runtime/Intl/NumberFormat.h:268:8:268:22""]] is 208 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""ISODateTime""|""relative:///Userland/Libraries/LibJS/Runtime/Temporal/AbstractOperations.h:100:8:100:18""]] is 72 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""PartialDurationRecord""|""relative:///Userland/Libraries/LibJS/Runtime/Temporal/Duration.h:87:8:87:28""]] is 160 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""TemporalTimeLikeRecord""|""relative:///Userland/Libraries/LibJS/Runtime/Temporal/PlainTime.h:58:8:58:29""]] is 96 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""NanosecondsToDaysResult""|""relative:///Userland/Libraries/LibJS/Runtime/Temporal/ZonedDateTime.h:38:8:38:30""]] is 200 bytes - consider passing a const pointer/reference instead.
This parameter of type [[""Optional<Reference>""|""relative:///AK/Optional.h:52:53:52:63""]] is 96 bytes - consider passing a const pointer/reference instead.
