"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibC/stdio.cpp:719:21:719:27""]] flows an expression which might overflow.
[[""User-provided value""|""relative:///Userland/Libraries/LibC/stdio.cpp:635:26:635:28""]] flows an expression which might overflow.","/AK/StringImpl.h","109","12","109","55"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibC/stdio.cpp:719:21:719:27""]] flows an expression which might overflow.
[[""User-provided value""|""relative:///Userland/Libraries/LibC/stdio.cpp:635:26:635:28""]] flows an expression which might overflow.","/AK/StringImpl.h","109","12","109","70"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibLine/Editor.cpp:548:26:548:31""]] flows an expression which might overflow.
[[""User-provided value""|""relative:///Userland/Libraries/LibMain/Main.cpp:41:17:41:20""]] flows an expression which might overflow.
[[""User-provided value""|""relative:///Userland/Libraries/LibSanitizer/UBSanitizer.cpp:34:35:34:40""]] flows an expression which might overflow.","/AK/CharacterTypes.h","126","16","126","32"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibSanitizer/UBSanitizer.cpp:34:35:34:40""]] flows an expression which might overflow negatively.","/AK/StringUtils.cpp","329","32","329","44"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibSanitizer/UBSanitizer.cpp:34:35:34:40""]] flows an expression which might overflow negatively.","/AK/StringUtils.cpp","332","36","332","53"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///Userland/Libraries/LibLine/Editor.cpp:548:26:548:31""]] flows an expression which might overflow negatively.
